Data		Horas Trabalhadas		Tipo Tarefa					Descrição da Tarefa Realizada

20/09		1h 						estudar						estudar sobre requisitos funcionais
23/09 		2h 						especificar as funções		elaboração dos requisitos funcionais
02/10		1h 						estudar						estudo do módulo lista.c
02/10		1h 						especificar os módulos		esboço da arquitetura
04/10		1h 						revisar especificações		revisão dos requisitos
07/10		2h 						revisar especificações		revisão dos requisitos
07/10		1h 						revisar projetos			revisão da arquitetura
07/10		2h 						estudar						estudo sob a monografia do arcabouço
08/10		1h30					codificar módulo 			início desenvolvimento de grafo.c
08/10		2h 						projetar					projetar modelo físico
09/10		1h30					projetar 					modelo físico
10/10		1h00					codificar módulos 			desenvolvimento grafo.c
12/10		6h00					codificar módulos 			desenvolvimento grafo.c e alteração de lista.c
13/10		4h00					codificar módulos			desenvolvimento grafo.c
14/10		5h00					revisar código do módulo 	teste manual com grafo.c e revisão de funções
									/diagnosticar e corrigir
15/10 		2h00					codificar módulos			documentação do grafo.h
16/10		1h00					diagnosticar e corrigir 	correção de bugs de grafo.c
16/10		1h00					revisar especificações	 	revisão de documentos (requisitos, arquitetura)
16/10		2h00					revisar script de teste	 	revisar casos de teste de grafo.c e lista.c
